GSM3905407_BCH825_BCH825.P02.A01	GSM3905407_BCH825_BCH825.P02.A03	GSM3905407_BCH825_BCH825.P02.A05	GSM3905407_BCH825_BCH825.P02.A07	GSM3905407_BCH825_BCH825.P02.A08	GSM3905407_BCH825_BCH825.P02.A09	GSM3905407_BCH825_BCH825.P02.A10	GSM3905407_BCH825_BCH825.P02.A11	GSM3905407_BCH825_BCH825.P02.B01	GSM3905407_BCH825_BCH825.P02.B02	GSM3905407_BCH825_BCH825.P02.B03	GSM3905407_BCH825_BCH825.P02.B04	GSM3905407_BCH825_BCH825.P02.B05	GSM3905407_BCH825_BCH825.P02.B06	GSM3905407_BCH825_BCH825.P02.B07	GSM3905407_BCH825_BCH825.P02.B08	GSM3905407_BCH825_BCH825.P02.B11	GSM3905407_BCH825_BCH825.P02.B12	GSM3905407_BCH825_BCH825.P02.C02	GSM3905407_BCH825_BCH825.P02.C03	GSM3905407_BCH825_BCH825.P02.C05	GSM3905407_BCH825_BCH825.P02.C06	GSM3905407_BCH825_BCH825.P02.C09	GSM3905407_BCH825_BCH825.P02.C10	GSM3905407_BCH825_BCH825.P02.C11	GSM3905407_BCH825_BCH825.P02.C12	GSM3905407_BCH825_BCH825.P02.D01	GSM3905407_BCH825_BCH825.P02.D03	GSM3905407_BCH825_BCH825.P02.D04	GSM3905407_BCH825_BCH825.P02.D05	GSM3905407_BCH825_BCH825.P02.D06	GSM3905407_BCH825_BCH825.P02.D07	GSM3905407_BCH825_BCH825.P02.D08	GSM3905407_BCH825_BCH825.P02.D09	GSM3905407_BCH825_BCH825.P02.D10	GSM3905407_BCH825_BCH825.P02.D11	GSM3905407_BCH825_BCH825.P02.D12	GSM3905407_BCH825_BCH825.P02.E01	GSM3905407_BCH825_BCH825.P02.E02	GSM3905407_BCH825_BCH825.P02.E05	GSM3905407_BCH825_BCH825.P02.E06	GSM3905407_BCH825_BCH825.P02.E07	GSM3905407_BCH825_BCH825.P02.E08	GSM3905407_BCH825_BCH825.P02.E09	GSM3905407_BCH825_BCH825.P02.E10	GSM3905407_BCH825_BCH825.P02.E11	GSM3905407_BCH825_BCH825.P02.E12	GSM3905407_BCH825_BCH825.P02.F01	GSM3905407_BCH825_BCH825.P02.F02	GSM3905407_BCH825_BCH825.P02.F03	GSM3905407_BCH825_BCH825.P02.F05	GSM3905407_BCH825_BCH825.P02.F06	GSM3905407_BCH825_BCH825.P02.F07	GSM3905407_BCH825_BCH825.P02.F08	GSM3905407_BCH825_BCH825.P02.F12	GSM3905407_BCH825_BCH825.P02.G01	GSM3905407_BCH825_BCH825.P02.G02	GSM3905407_BCH825_BCH825.P02.G05	GSM3905407_BCH825_BCH825.P02.G06	GSM3905407_BCH825_BCH825.P02.G09	GSM3905407_BCH825_BCH825.P02.G10	GSM3905407_BCH825_BCH825.P02.G11	GSM3905407_BCH825_BCH825.P02.G12	GSM3905407_BCH825_BCH825.P02.H04	GSM3905407_BCH825_BCH825.P02.H08	GSM3905407_BCH825_BCH825.P02.H09	GSM3905407_BCH825_BCH825.P02.H10	GSM3905407_BCH825_BCH825.P02.H12	GSM3905407_BCH825_BCH825.P06.A02	GSM3905407_BCH825_BCH825.P06.A03	GSM3905407_BCH825_BCH825.P06.A04	GSM3905407_BCH825_BCH825.P06.A05	GSM3905407_BCH825_BCH825.P06.A06	GSM3905407_BCH825_BCH825.P06.A07	GSM3905407_BCH825_BCH825.P06.A08	GSM3905407_BCH825_BCH825.P06.A09	GSM3905407_BCH825_BCH825.P06.A10	GSM3905407_BCH825_BCH825.P06.B01	GSM3905407_BCH825_BCH825.P06.B02	GSM3905407_BCH825_BCH825.P06.B03	GSM3905407_BCH825_BCH825.P06.B04	GSM3905407_BCH825_BCH825.P06.B05	GSM3905407_BCH825_BCH825.P06.B06	GSM3905407_BCH825_BCH825.P06.B07	GSM3905407_BCH825_BCH825.P06.B08	GSM3905407_BCH825_BCH825.P06.B09	GSM3905407_BCH825_BCH825.P06.B12	GSM3905407_BCH825_BCH825.P06.C04	GSM3905407_BCH825_BCH825.P06.C05	GSM3905407_BCH825_BCH825.P06.C07	GSM3905407_BCH825_BCH825.P06.C08	GSM3905407_BCH825_BCH825.P06.C09	GSM3905407_BCH825_BCH825.P06.D04	GSM3905407_BCH825_BCH825.P06.D06	GSM3905407_BCH825_BCH825.P06.D07	GSM3905407_BCH825_BCH825.P06.D08	GSM3905407_BCH825_BCH825.P06.D09	GSM3905407_BCH825_BCH825.P06.D12	GSM3905407_BCH825_BCH825.P06.E01	GSM3905407_BCH825_BCH825.P06.E03
ENSG00000145824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000095596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000053438	7.657	5.719	6.206	8.768	11.099	8.802	9.29	0	4.77	5.119	3.899	5.445	6.434	7.828	8.85	0	7.05	9.051	4.198	6.369	7.207	5.149	5.591	4.176	8.629	7.013	3.103	6.759	6.594	5.329	0	9.584	8.452	6.899	0	8.694	5.525	5.766	5.925	5.886	5.36	6.874	6.39	3.696	5.019	4.629	8.301	6.544	8.897	8.446	8.944	5.635	8.542	0	6.752	8.294	0	0	5.88	9.888	6.795	6.717	8.164	10.382	7.757	7.952	6.945	7.066	6.209	7.841	6.11	0	10.405	5.633	9.369	7.441	6.422	9.341	4.96	6.315	7.938	7.599	0	3.493	0	5.581	4.697	5.884	8.54	6.086	8.636	4.282	7.704	5.775	8.972	0	0	9.375	5.502	5.714
ENSG00000238269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.595	0	0	0	0	0	0	0	5.475	0	0	0	0	0	0	0	0	0	0	0	0	3.439	0	2.994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111716	6.156	0	6.928	5.949	0	0	6.237	6.176	0	7.026	6.679	6.237	0	7.577	6.758	2.308	3.265	5.952	6.148	0	2.824	2.183	0	0	6.728	4.663	5.995	5.468	0	5.282	0	0	0	5.217	6.629	4.351	5.609	0	0	2.234	0	3.315	0	6.842	6.303	6.064	0	6.09	5.44	0	3.116	5.757	4.818	5.118	5.988	6.266	6.026	5.872	3.037	4.503	6.315	0	0	0	7.019	0	6.831	0	6.237	6.048	0	5.858	5.046	5.282	5.729	0	0	2.589	6.401	6.284	5.978	0	2.573	6.473	3.254	5.933	5.969	0	4.948	6.481	5.421	5.923	0	6.648	0	7.471	0	0	6.183	3.044
ENSG00000122180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175183	3.335	7.286	0	8.62	0	5.43	7.905	5.054	7.284	0	0	5.719	6.54	3.15	6.62	0	9.17	6.043	4.299	0	0	0	0	0	7.489	6.166	6.795	5.602	0	0	7.777	0	8.028	5.612	0	7.802	6.912	7.057	0	0	0	7.119	6.774	4.616	0	4.108	7.198	0	6.587	6.279	0	6.707	0	0	7.746	6.573	0	0	7.94	0	0	6.344	7.594	0	4.757	2.732	6.996	8.72	5.084	6.36	5.455	5.634	5.757	0	6.294	6.86	4.861	5.774	2.794	7.594	0	5.531	5.909	8.051	6.491	7.691	4.525	0	6.17	5.087	0	6.902	6.801	3.984	7.752	0	0	7.837	6.529	6.306
ENSG00000003096	0	0	0	5.513	0	0	0	0	0	0	0	4.311	0	0	0	0	5.792	0	0	0	0	0	0	0	0	0	0	4.697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.972
ENSG00000111341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234741	0	0	5.353	3.036	6.106	5.883	0	5.748	7.449	5.876	6.519	0	6.988	0	5.52	7.125	0	0	6.489	0	7.483	7.541	0	0	0	4.611	0	4.89	0	6.396	4.106	4.497	0	0	2.697	0	6.161	1.372	7.458	0	5.025	5.546	5.439	5.692	7.443	5.017	3.362	5.303	5.091	6.642	0	4.892	7.346	1.114	0	0	0	3.549	0	7.286	6.157	4.07	6.965	6.834	5.004	6.184	0	7.039	0	0	5.385	4.545	1.643	5.812	0	6.827	5.324	6.619	4.203	0	4.948	0	4.501	8.094	0	4.013	5.622	4.852	4.495	5.629	5.229	6.238	4.224	7.26	0	5.297	0	0	3.982	0
ENSG00000104327	0	0	0	3.464	0	0	0	0	0	0	4.947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.751	0	0	0	0	0	0	0	0	0	0	0	5.985	0	0	0	0	0	0	5.471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.485	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284134	0	0	0	0	0	0	0	0	0	0	0	6.421	0	0	0	0	0	5.803	0	4.703	0	0	7.74	0	0	0	0	4.437	0	0	0	0	0	0	0	0	0	4.251	0	0	0	0	5.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.099	0	0	6.425	0	0	6.672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223367	5.536	8.678	8.412	6.282	9.45	8.773	7.876	8.228	8.6	7.969	7.678	7.631	5.31	6.957	6.506	7.951	8.196	7.46	7.849	8.821	7.659	8.874	8.302	7.741	8.027	7.555	0	8.103	8.133	7.696	7.246	6.114	3.926	7.439	7.933	7.211	8.901	8.905	8.476	9.083	6.662	6.427	9.236	8.441	8.424	8.496	4.523	8.395	6.178	9.007	9.52	8.633	7.945	8.391	8.924	7.325	8.305	0	8.342	9.822	7.578	7.399	7.879	9.303	8.454	8.91	7.995	7.198	6.472	7.64	7.765	7.201	6.379	8.24	6.086	8.91	7.485	7.344	8.458	6.255	8.684	6.987	8.27	6.656	7.632	8.688	8.858	7.226	6.174	5.15	7.76	8.968	8.316	7.865	8.163	8.379	7.2	8.158	7.835	3.899
ENSG00000106565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175063	7.381	0	5.725	0	0	0	0	5.124	5.121	0	0	0	0	0	6.391	4.846	0	0	5.381	0	0	0	0	0	0	0	0	5.689	0	5.372	0	0	4.462	0	0	0	0	0	0	0	6.11	0	0	5.052	0	6.534	0	1.224	5.868	0	0	0	6.685	0	0	0	0	0	0	0	0	0	0	0	0	0	8.973	0	0	5.65	0	0	0	4.253	0	0	0	0	3.938	0	0	0	0	0	0	0	8.68	0	0	0	0	0	0	0	0	0	0	0	4.64	0
ENSG00000002933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000139053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000089199	5.651	6.835	4.347	5.611	6.046	5.336	5.635	5.772	7.478	6.839	6.167	6.735	7.847	6.583	5.745	7.081	7.213	6.678	4.157	5.73	8.828	6.154	0	6.707	7.151	6.294	5.999	6.802	5.524	3.093	7.847	4.436	7.701	7.062	5.139	9.638	3.617	6.804	5.89	7.551	5.013	0	7.047	2.76	0	1.483	6.706	7.157	7.672	6.421	7.1	4.806	0	0	6.554	5.28	6.606	6.097	5.866	6.309	6.757	5.71	5.564	6.977	0	5.647	5.748	2.081	6.457	5.63	7.073	7.359	7.224	6.511	7.52	6.66	5.666	5.23	3.654	7.282	1.908	7.081	5.547	6.235	8.086	8.971	4.421	0	5.688	5.931	4.418	5.035	8.149	7.138	9.314	5.551	6.377	8.552	6.815	7.323
ENSG00000166482	0	6.72	5.853	0	0	5.37	0	4.897	5.539	0	6.546	0	0	0	0.922	5.459	0	0	6.638	6.192	0	5.236	0	0	0	0	0	0.654	5.626	6.871	6.128	0	0	0	0	0	5.361	0	4.207	0	0	1.63	0	7.792	2.672	5.57	4.242	0	0	0	0	3.525	7.135	5.835	0	0	6.828	6.317	0	0	0	6.563	5.308	6.005	0	0	5.826	5.26	6.882	2.16	0	0	4.021	8.102	0	0	3.127	6.049	6.451	0	0	5.46	0	0	0	0	6.992	0	0	0	0	5.552	3.367	0	0	7.699	0	0	0	0
ENSG00000139970	6.997	6.577	5.165	8.987	0	0	8.367	6.091	5.652	0	0	8.024	0	0	6.473	6.342	7.716	7.47	0	0	0	0	4.847	0	5.71	8.888	6.526	7.373	0	5.518	0	0	0	7.813	6.192	6.516	6.044	7.833	3.839	6.942	3.557	6.021	1.162	0	0	0	7.687	4.737	7.682	0	0	5.195	0	0	0	7.703	0	0	6.483	0	0	0	7.223	0	0	5.706	7.254	6.068	0	0	5.442	4.283	4.421	0	7.65	6.636	6.747	0	0	8.448	1.766	0	7.496	7.605	0	6.005	6.147	0	8.147	2.97	2.89	7.109	5.876	7.457	6.582	0	6.446	0	4.062	8.331
ENSG00000137573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
